Company,Year,Culture War Event,Event Date,Industry,Ticker,Estimated Political Leaning,Political Leaning Justifications,NAICS Code,Control Firm,Control Ticker,Rationale
Netflix,2020,'Cuties' film controversy triggers cancel campaign,9/11/20,Streaming Media,NFLX,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",512120,Warner Bros. Discovery,WBD,Streaming and media competitor HBO Max/Discovery+
eBay,2019,Bans Confederate flag items; backlash,9/16/19,Unknown,EBAY,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,,,
Uber,2017,#DeleteUber after travel ban strikebreak,1/29/17,Unknown,UBER,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,,,
Lyft,2021,Legal fund for drivers sued under Texas abortion law sparks conservative backlash,9/3/21,Unknown,LYFT,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,,,
Apple,2017,Donates to anti‑hate groups post‑Charlottesville; alt‑right boycott,8/15/17,Consumer Electronics,AAPL,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",334220,Microsoft,MSFT,Mega‑cap consumer‑tech peer.
Netflix,2019,Threatens to pull productions over Georgia abortion law,5/30/19,Streaming Media,NFLX,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",512120,Warner Bros. Discovery,WBD,Streaming and media competitor HBO Max/Discovery+
United Parcel Service,2012,Stops donations to Boy Scouts over gay ban; conservative backlash,11/15/12,Courier/Logistics,UPS,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,492110,FedEx,FDX,Direct logistics competitor.
Exxon Mobil,2022,Bans LGBT flag at HQ; progressive backlash,4/22/22,Oil & Gas,XOM,Conservative,Conservative - Based on company alignment with traditional/conservative donor patterns or anti-ESG stance.,211120,Chevron,CVX,Integrated oil & gas peer.
Levi Strauss & Co.,2022,Exec supports abortion rights; conservative boycott,5/9/22,Apparel,LEVI,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",315210,VF Corp.,VFC,Apparel maker with denim brands.
Target,2022,Adds gender-inclusive 'Lil Miss' line; backlash,2/1/22,General Merchandise Retail,TGT,Conservative,Conservative - Based on company alignment with traditional/conservative donor patterns or anti-ESG stance.,452311,Walmart,WMT,National big‑box retail peer.
Cracker Barrel,2013,Pulls Duck Dynasty products after anti‑gay remarks; conservative backlash,12/22/13,Unknown,CBRL,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,,,
Mondelez,2014,Honey Maid inclusive family ad sparks conservative ire,3/13/14,Unknown,MDLZ,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,,,
General Mills,2013,Interracial Cheerios ad draws racist backlash,5/29/13,Unknown,GIS,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,,,
Campbell Soup,2015,Ad featuring gay dads triggers boycott calls,10/5/15,Unknown,CPB,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,,,
PepsiCo,2012,Doritos gay marriage Super Bowl ad controversy,2/2/12,Beverages/Snacks,PEP,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",311919,Coca-Cola,KO,Direct beverage competitor.
Boeing,2020,Pulls ads from Tucker Carlson after racist segment; conservative backlash,6/15/20,Aerospace & Defense,BA,Conservative,Conservative - Based on company alignment with traditional/conservative donor patterns or anti-ESG stance.,336411,Lockheed Martin,LMT,Large aerospace & defense contractor.
CVS Health,2023,Plans to sell abortion pill mifepristone; conservative boycott,1/4/23,Pharmacy Retail,CVS,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,446110,Walgreens Boots Alliance,WBA,Pharmacy retail peer.
Google,2022,Commits to abortion travel benefits after Roe reversal; backlash,6/24/22,Internet/Technology,GOOGL,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",519130,Microsoft,MSFT,Large‑cap tech rival across ads and cloud.
Microsoft,2022,Abortion travel reimbursement policy; conservative backlash,6/24/22,Software,MSFT,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",511210,Apple,AAPL,Mega‑cap tech peer.
JPMorgan Chase,2022,Covers abortion‑travel costs; pro‑life boycott push,6/24/22,Banking,JPM,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,522110,Bank of America,BAC,Large diversified U.S. bank peer.
Disney,2022,Offers abortion travel expenses; conservative outrage,6/24/22,Media & Entertainment,DIS,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",512110,Comcast (NBCUniversal),CMCSA,Conglomerate with major media & theme‑park assets.
Nike,2022,Expands abortion healthcare travel; boycott threats,6/24/22,Apparel/Sportswear,NKE,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",315210,Under Armour,UAA,Athletic‑apparel peer.
Citigroup,2022,Pays for abortion travel; GOP lawmakers threaten retaliation,3/15/22,Banking,C,Conservative,Conservative - Based on company alignment with traditional/conservative donor patterns or anti-ESG stance.,522110,,,
Levi Strauss & Co.,2022,Denounces Roe reversal; conservative boycott renews,6/24/22,Apparel,LEVI,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",315210,VF Corp.,VFC,Apparel maker with denim brands.
Starbucks,2022,Covers abortion travel; conservative backlash,6/15/22,Restaurant/Coffeehouse,SBUX,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",722513,Dunkin Brands,DNKN,Coffeehouse chain targeting similar consumers.
Apple,2022,Commits to abortion travel benefits; boycott calls,6/24/22,Consumer Electronics,AAPL,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",334220,Microsoft,MSFT,Mega‑cap consumer‑tech peer.
Meta Platforms,2022,Covers abortion travel; Republican criticism,6/24/22,Social Media,META,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",519130,Snap Inc.,SNAP,U.S. social‑media peer.
Amazon,2022,Announces abortion travel benefit; conservative backlash,5/2/22,E‑commerce/Cloud,AMZN,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",454110,eBay,EBAY,E‑commerce marketplace peer.
Warner Bros. Discovery,2022,Covers abortion travel; boycott calls,6/24/22,Unknown,WBD,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,,,
Yum! Brands,2022,Offers abortion travel coverage; pro‑life backlash,6/26/22,Unknown,YUM,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,,,
Sony Group,2022,PlayStation covers abortion travel; conservative boycott calls,6/28/22,Electronics/Entertainment,SONY,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,Microsoft,MSFT,Competitor in gaming & entertainment hardware/software.
Target,2022,Expands abortion travel benefits; renewed boycott,6/24/22,General Merchandise Retail,TGT,Conservative,Conservative - Based on company alignment with traditional/conservative donor patterns or anti-ESG stance.,452311,Walmart,WMT,National big‑box retail peer.
Uber,2022,Covers legal fees for drivers sued under abortion law; backlash,5/15/22,Unknown,UBER,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,,,
Lyft,2022,Covers legal fees for drivers sued under abortion law; backlash,5/15/22,Unknown,LYFT,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,,,
DoorDash,2022,Announces abortion travel expense coverage; conservative backlash,6/24/22,Delivery Services,DASH,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",492210,Uber Technologies,UBER,Delivery competitor.
HP Inc.,2022,Covers abortion travel costs; conservative backlash,6/27/22,Computer Hardware,HPQ,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,Dell Technologies,DELL,PC hardware peer.
Netflix,2022,Adds abortion travel benefits; boycott calls,6/24/22,Streaming Media,NFLX,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",512120,Warner Bros. Discovery,WBD,Streaming and media competitor HBO Max/Discovery+
Tesla,2022,Pays for employee abortion travel; conservative backlash,5/4/22,Automotive/EV,TSLA,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",999999,General Motors,GM,Automaker pushing EV segment.
Bank of America,2022,Expands abortion travel benefits; conservative backlash,7/19/22,Banking,BAC,Conservative,Conservative - Based on company alignment with traditional/conservative donor patterns or anti-ESG stance.,522110,JPMorgan Chase,JPM,Large U.S. banking peer.
American Airlines,2023,Covers abortion travel; state lawmakers threaten action,6/26/23,Airlines,AAL,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,481111,United Airlines,UAL,Legacy airline peer.
